BeerStyle,Ca2+(mg/L)_min,Ca2+(mg/L)_max,Ca2+(mg/L)_mean,Mg2+(mg/L)_min,Mg2+(mg/L)_max,Mg2+(mg/L),Na+(mg/L)_min,Na+(mg/L)_max,Na+(mg/L)_mean,Cl(mg/L)_min,Cl(mg/L)_max,Cl(mg/L)_mean,SO42(mg/L)_min,SO42(mg/L)_max,SO42(mg/L)_mean,HCO3(mg/L)_min,HCO3(mg/L)_max,HCO3(mg/L)_mean,pH_min,pH_max,pH_mean,TDS(mg/L)_min,TDS(mg/L)_max,TDS(mg/L)_mean
Pilsner(Czech),10,50,30,0,10,5,0,50,25,0,50,25,0,50,25,0,150,75,7,8,7.5,50,150,100
BritishPaleAle,50,150,100,5,30,17.5,10,70,40,20,70,45,100,400,250,50,300,175,7.2,8.5,7.85,200,500,350
IrishStout,50,150,100,5,30,17.5,10,70,40,20,70,45,50,150,100,150,400,275,7,8,7.5,300,600,450
Gose,50,150,100,5,30,17.5,150,300,225,150,300,225,0,50,25,0,250,125,4.4,4.6,4.5,300,700,500
AmericanPaleAle,50,150,100,5,30,17.5,0,50,25,0,50,25,100,400,250,0,250,125,6.5,8,7.25,150,450,300
AmericanIPA,50,150,100,5,30,17.5,0,50,25,0,50,25,100,400,250,0,250,125,6.5,8,7.25,150,450,300
ImperialIPA(IIPA),50,150,100,5,30,17.5,0,50,25,0,50,25,200,500,350,0,250,125,6.5,8,7.25,200,550,375
GermanHefeweizen,20,100,60,0,20,10,0,50,25,0,50,25,0,50,25,0,150,75,6.5,7.5,7,50,250,150
AmericanStout,50,150,100,5,30,17.5,10,70,40,20,70,45,50,150,100,150,400,275,7,8,7.5,300,600,450
RussianImperialStout,100,200,150,10,50,30,30,100,65,50,150,100,300,800,550,100,400,250,7,8,7.5,600,1200,900
AmericanLager,20,100,60,0,20,10,0,50,25,0,50,25,50,150,100,0,150,75,6.5,8,7.25,100,300,200
ViennaLager,20,100,60,0,20,10,0,50,25,20,70,45,50,150,100,50,250,150,6.5,8,7.25,100,350,225
MunichHelles,20,100,60,0,20,10,0,50,25,0,50,25,0,50,25,50,250,150,6.5,8,7.25,50,250,150
AmericanAmberAle,50,150,100,5,30,17.5,0,50,25,0,50,25,50,150,100,0,250,125,6.5,8,7.25,150,400,275
BelgianTripel,50,150,100,5,30,17.5,0,50,25,0,50,25,50,150,100,0,250,125,6.5,8,7.25,150,400,275
Saison,50,150,100,5,30,17.5,0,50,25,0,50,25,50,150,100,0,250,125,6.5,8,7.25,150,400,275
GermanPilsner,10,50,30,0,10,5,0,50,25,0,50,25,0,50,25,0,150,75,7,8,7.5,50,150,100
Kölsch,20,100,60,0,20,10,0,50,25,0,50,25,50,150,100,0,150,75,6.5,8,7.25,100,300,200
BalticPorter,50,150,100,5,30,17.5,10,70,40,20,70,45,50,150,100,150,400,275,7,8,7.5,300,600,450
EnglishBarleywine,50,150,100,5,30,17.5,10,70,40,20,70,45,100,400,250,50,300,175,7.2,8.5,7.85,200,500,350